cod_iso,PorcEstudiantes,PorcDocentes
ARTIGAS,0.3134,0.3111, 
CANELONES,0.0286,0.0302, 
CERRO LARGO,0.1776,0.1727, 
COLONIA,0.0309,0.0331, 
DURAZNO,0.0422,0.0474, 
FLORES,0.019,0.0221, 
FLORIDA,0.0078,0.009, 
LAVALLEJA,0.0212,0.0262, 
MALDONADO,0.0174,0.0199, 
MONTEVIDEO,0.0555,0.0552, 
PAYSANDU,0.0375,0.0426, 
RIO NEGRO,0.0185,0.0207, 
RIVERA,0.0425,0.0412, 
ROCHA,0.0275,0.0289, 
SALTO,0.0468,0.0457, 
SAN JOSE,0.0388,0.0391, 
SORIANO,0.0276,0.0306, 
TACUAREMBO,0.0318,0.0363, 
TREINTA Y TRES,0.0154,0.0192, 
UY-,1.0,1.0